ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
10,6,BX334,4.7,2025-08-05,"客户ID: BX334
客户公司: 和泰传媒有限公司生物科技
客户所在地: 惠州市, 中国
产品信息: 海尔智慧家庭 智能空调 Basic (类别: 智能空调)
生产商: 海尔智慧家庭
产品价格: 2630.29
评分: 4.7星
评价日期: 2025年08月05日
评价内容: ""这是我用过的最好的智能空调之一，性价比高，性价比很高。""",130,智能空调,海尔智慧家庭 智能空调 Basic,和泰传媒有限公司生物科技
18,3,GB755,2.3,2025-07-23,"客户ID: GB755
客户公司: 惠派国际公司科技有限公司科技公司
客户所在地: 丽县, 中国
产品信息: 松下 智能空调 Elite (类别: 智能空调)
生产商: 松下智能电器
产品价格: 8471.3
评分: 2.3星
评价日期: 2025年07月23日
评价内容: ""这款产品有严重问题，兼容性差，已经申请退款。""",124,智能空调,松下 智能空调 Elite,惠派国际公司科技有限公司科技公司
20,8,MQ931,4.2,2025-06-26,"客户ID: MQ931
客户公司: 彩虹网络有限公司移动应用开发
客户所在地: 磊县, 中国
产品信息: 小米 智能体重秤 Pro (类别: 智能体重秤)
生产商: 小米智能家居
产品价格: 1133.73
评分: 4.2星
评价日期: 2025年06月26日
评价内容: ""这款智能体重秤质量很好，智能化程度高。总体来说很满意。""",129,智能体重秤,小米 智能体重秤 Pro,彩虹网络有限公司移动应用开发
27,4,PE225,2.7,2025-05-12,"客户ID: PE225
客户公司: 襄樊地球村传媒有限公司人工智能
客户所在地: 玉英县, 中国
产品信息: 谷歌 智能门锁 Mini (类别: 智能门锁)
生产商: 谷歌智能设备
产品价格: 1182.15
评分: 2.7星
评价日期: 2025年05月12日
评价内容: ""对这款智能门锁非常不满意，音质一般，浪费钱。""",124,智能门锁,谷歌 智能门锁 Mini,襄樊地球村传媒有限公司人工智能
5,10,NQ316,4.0,2025-05-02,"客户ID: NQ316
客户公司: 时空盒数字科技有限公司金融科技
客户所在地: 瑞县, 中国
产品信息: 格力 智能窗帘 Ultra (类别: 智能窗帘)
生产商: 格力智能电器
产品价格: 5082.45
评分: 4.0星
评价日期: 2025年05月02日
评价内容: ""这款产品的定时功能特别好用，在家庭聚会时特别方便。""",126,智能窗帘,格力 智能窗帘 Ultra,时空盒数字科技有限公司金融科技
21,4,NQ316,4.2,2025-04-28,"客户ID: NQ316
客户公司: 时空盒数字科技有限公司金融科技
客户所在地: 瑞县, 中国
产品信息: 谷歌 智能门锁 Mini (类别: 智能门锁)
生产商: 谷歌智能设备
产品价格: 1182.15
评分: 4.2星
评价日期: 2025年04月28日
评价内容: ""这是我用过的最好的智能门锁之一，节能环保，性价比很高。""",128,智能门锁,谷歌 智能门锁 Mini,时空盒数字科技有限公司金融科技
6,6,KX899,1.7,2025-04-05,"客户ID: KX899
客户公司: 华成育卓科技有限公司金融科技
客户所在地: 郑州县, 中国
产品信息: 海尔智慧家庭 智能空调 Basic (类别: 智能空调)
生产商: 海尔智慧家庭
产品价格: 2630.29
评分: 1.7星
评价日期: 2025年04月05日
评价内容: ""作为第一次购买这类产品的新手，这款海尔智慧家庭 智能空调 Basic存在明显缺陷。使用不到一周就出现了失灵。以后不会再考虑这个品牌的产品。""",168,智能空调,海尔智慧家庭 智能空调 Basic,华成育卓科技有限公司金融科技
25,6,VJ733,1.9,2025-03-26,"客户ID: VJ733
客户公司: 联软科技有限公司区块链技术
客户所在地: 伟市, 中国
产品信息: 海尔智慧家庭 智能空调 Basic (类别: 智能空调)
生产商: 海尔智慧家庭
产品价格: 2630.29
评分: 1.9星
评价日期: 2025年03月26日
评价内容: ""信号强度问题很严重，完全不值这个价格。""",122,智能空调,海尔智慧家庭 智能空调 Basic,联软科技有限公司区块链技术
13,5,LJ915,1.3,2025-02-26,"客户ID: LJ915
客户公司: 恩悌信息有限公司人工智能
客户所在地: 郑州市, 中国
产品信息: 博世 智能扫地机器人 Lite (类别: 智能扫地机器人)
生产商: 博世智能系统
产品价格: 2793.31
评分: 1.3星
评价日期: 2025年02月26日
评价内容: ""这款产品有严重问题，价格偏高，已经申请退款。""",127,智能扫地机器人,博世 智能扫地机器人 Lite,恩悌信息有限公司人工智能
7,7,AW592,3.7,2024-12-05,"客户ID: AW592
客户公司: 精芯网络有限公司科技公司
客户所在地: 潜江市, 中国
产品信息: 博世 智能门锁 Lite (类别: 智能门锁)
生产商: 博世智能系统
产品价格: 4724.29
评分: 3.7星
评价日期: 2024年12月05日
评价内容: ""这款智能门锁一般，稳定性好，但是连接稳定性有点问题。""",125,智能门锁,博世 智能门锁 Lite,精芯网络有限公司科技公司
15,8,BX334,2.2,2024-11-10,"客户ID: BX334
客户公司: 和泰传媒有限公司生物科技
客户所在地: 惠州市, 中国
产品信息: 小米 智能体重秤 Pro (类别: 智能体重秤)
生产商: 小米智能家居
产品价格: 1133.73
评分: 2.2星
评价日期: 2024年11月10日
评价内容: ""不推荐这款智能体重秤，售后服务差，很失望。""",122,智能体重秤,小米 智能体重秤 Pro,和泰传媒有限公司生物科技
26,7,GB755,4.1,2024-11-06,"客户ID: GB755
客户公司: 惠派国际公司科技有限公司科技公司
客户所在地: 丽县, 中国
产品信息: 博世 智能门锁 Lite (类别: 智能门锁)
生产商: 博世智能系统
产品价格: 4724.29
评分: 4.1星
评价日期: 2024年11月06日
评价内容: ""使用了一个月，性价比高，没有发现任何问题。""",123,智能门锁,博世 智能门锁 Lite,惠派国际公司科技有限公司科技公司
22,5,DL852,2.3,2024-10-23,"客户ID: DL852
客户公司: 联通时科传媒有限公司科技公司
客户所在地: 秀珍市, 中国
产品信息: 博世 智能扫地机器人 Lite (类别: 智能扫地机器人)
生产商: 博世智能系统
产品价格: 2793.31
评分: 2.3星
评价日期: 2024年10月23日
评价内容: ""从我的使用体验来看，这款博世 智能扫地机器人 Lite质量太差。在看电影时时完全不能正常工作。""",149,智能扫地机器人,博世 智能扫地机器人 Lite,联通时科传媒有限公司科技公司
30,6,PE225,4.8,2024-10-12,"客户ID: PE225
客户公司: 襄樊地球村传媒有限公司人工智能
客户所在地: 玉英县, 中国
产品信息: 海尔智慧家庭 智能空调 Basic (类别: 智能空调)
生产商: 海尔智慧家庭
产品价格: 2630.29
评分: 4.8星
评价日期: 2024年10月12日
评价内容: ""这款智能空调质量很好，安装方便。总体来说很满意。""",130,智能空调,海尔智慧家庭 智能空调 Basic,襄樊地球村传媒有限公司人工智能
28,2,PE225,1.4,2024-09-15,"客户ID: PE225
客户公司: 襄樊地球村传媒有限公司人工智能
客户所在地: 玉英县, 中国
产品信息: 松下 智能摄像头 Lite (类别: 智能摄像头)
生产商: 松下智能电器
产品价格: 342.07
评分: 1.4星
评价日期: 2024年09月15日
评价内容: ""使用一周后出现故障，画质模糊，售后服务也不好。""",127,智能摄像头,松下 智能摄像头 Lite,襄樊地球村传媒有限公司人工智能
19,9,GB755,4.3,2024-09-10,"客户ID: GB755
客户公司: 惠派国际公司科技有限公司科技公司
客户所在地: 丽县, 中国
产品信息: 美的 智能手环 Standard (类别: 智能手环)
生产商: 美的智能科技
产品价格: 3548.17
评分: 4.3星
评价日期: 2024年09月10日
评价内容: ""在看电影时时使用效果很好，特别是高清画质功能。""",125,智能手环,美的 智能手环 Standard,惠派国际公司科技有限公司科技公司
4,3,GB755,2.7,2024-08-14,"客户ID: GB755
客户公司: 惠派国际公司科技有限公司科技公司
客户所在地: 丽县, 中国
产品信息: 松下 智能空调 Elite (类别: 智能空调)
生产商: 松下智能电器
产品价格: 8471.3
评分: 2.7星
评价日期: 2024年08月14日
评价内容: ""对这款智能空调非常不满意，做工一般，浪费钱。""",124,智能空调,松下 智能空调 Elite,惠派国际公司科技有限公司科技公司
23,5,NQ316,2.4,2024-07-13,"客户ID: NQ316
客户公司: 时空盒数字科技有限公司金融科技
客户所在地: 瑞县, 中国
产品信息: 博世 智能扫地机器人 Lite (类别: 智能扫地机器人)
生产商: 博世智能系统
产品价格: 2793.31
评分: 2.4星
评价日期: 2024年07月13日
评价内容: ""我觉得，这款智能扫地机器人性价比极低。连接稳定性简直无法忍受。唯一值得称赞的可能就是送货速度快。不推荐任何人购买。""",164,智能扫地机器人,博世 智能扫地机器人 Lite,时空盒数字科技有限公司金融科技
8,10,AR900,3.7,2024-06-11,"客户ID: AR900
客户公司: 九方网络有限公司虚拟现实
客户所在地: 桂珍县, 中国
产品信息: 格力 智能窗帘 Ultra (类别: 智能窗帘)
生产商: 格力智能电器
产品价格: 5082.45
评分: 3.7星
评价日期: 2024年06月11日
评价内容: ""作为第一次购买这类产品的新手，这款格力 智能窗帘 Ultra优缺点都有。静音设计设计得比较合理。不过连接稳定性有点问题。有点贵了，但质量确实好。""",165,智能窗帘,格力 智能窗帘 Ultra,九方网络有限公司虚拟现实
16,1,FK682,4.6,2024-04-09,"客户ID: FK682
客户公司: 四通网络有限公司区块链技术
客户所在地: 俊市, 中国
产品信息: 博世 智能电视 Lite (类别: 智能电视)
生产商: 博世智能系统
产品价格: 625.84
评分: 4.6星
评价日期: 2024年04月09日
评价内容: ""这款产品的多用户管理特别好用，在家庭聚会时特别方便。""",125,智能电视,博世 智能电视 Lite,四通网络有限公司区块链技术
